Move;value;visited;score
PROPOSE; value 1: 1.4807382280199857; round: 20; ; value 2: 0.08229545782229564; round: 20; ; value 3: 5.344678615681712; round: 20; ; value 4: 6.697058639787868; round: 20; ; value 5: 3.9618709219870203; round: 20; ; value 6: 5.642102983547753; round: 20; ; value 7: 1.7875981733897404; round: 20; ; value 8: 8.690081039242829; round: 20; ; value 9: 0.9327564591918249; round: 20; ; value 10: 0.5791464026943638; round: 20; ;0.5178657736622333;59;0.5178657736622333
PROPOSE; value 1: 5.6636517429549365; round: 20; ; value 2: 7.541453288630115; round: 20; ; value 3: 6.9127161234071055; round: 20; ; value 4: 7.229808023758112; round: 20; ; value 5: 4.765538880485214; round: 20; ; value 6: 3.131684783381769; round: 20; ; value 7: 5.761434248279816; round: 20; ; value 8: 6.765000757261028; round: 20; ; value 9: 3.7252148788983486; round: 20; ; value 10: 5.02507354195112; round: 20; ;0.5326139201033623;85;0.5326139201033623
PROPOSE; value 1: 8.216150806589155; round: 20; ; value 2: 2.4522273733214344; round: 20; ; value 3: 4.820450788682722; round: 20; ; value 4: 3.5064551715171803; round: 20; ; value 5: 2.019782262862561; round: 20; ; value 6: 0.05467922932997671; round: 20; ; value 7: 1.6725736365934916; round: 20; ; value 8: 7.898384226960106; round: 20; ; value 9: 8.065165445970527; round: 20; ; value 10: 5.456469229799873; round: 20; ;0.5326975872863173;78;0.5326975872863173
PROPOSE; value 1: 7.958687856846845; round: 20; ; value 2: 1.169220574824279; round: 20; ; value 3: 8.322748400543526; round: 20; ; value 4: 5.193120173323327; round: 20; ; value 5: 6.185084328642659; round: 20; ; value 6: 6.39117123387705; round: 20; ; value 7: 1.864837331496188; round: 20; ; value 8: 3.6573868553294417; round: 20; ; value 9: 1.9346246497857587; round: 20; ; value 10: 1.4609844507364453; round: 20; ;0.5397516378287768;78;0.5397516378287768
PROPOSE; value 1: 1.48286537580174; round: 20; ; value 2: 1.2379502862642089; round: 20; ; value 3: 4.81424805621493; round: 20; ; value 4: 2.484959728121363; round: 20; ; value 5: 2.8714694593313537; round: 20; ; value 6: 1.6562337543032672; round: 20; ; value 7: 3.326912073521483; round: 20; ; value 8: 1.1463601480239072; round: 20; ; value 9: 2.6730661185783626; round: 20; ; value 10: 0.7348840461491749; round: 20; ;0.562943392738912;81;0.562943392738912
PROPOSE; value 1: 4.021709386269515; round: 20; ; value 2: 0.8281082957322365; round: 20; ; value 3: 1.6298654572902347; round: 20; ; value 4: 8.634083978077646; round: 20; ; value 5: 5.132313541427063; round: 20; ; value 6: 3.498013232980003; round: 20; ; value 7: 6.434359952924865; round: 20; ; value 8: 8.547100437172201; round: 20; ; value 9: 0.05889674913029774; round: 20; ; value 10: 6.845516473452423; round: 20; ;0.5359734426708145;80;0.5359734426708145
PROPOSE; value 1: 2.3536689144394405; round: 20; ; value 2: 0.5445296754235585; round: 20; ; value 3: 7.874914010159256; round: 20; ; value 4: 5.605719792127297; round: 20; ; value 5: 4.3167763803102845; round: 20; ; value 6: 0.8512993479192011; round: 20; ; value 7: 6.875956138278742; round: 20; ; value 8: 0.5115349859016034; round: 20; ; value 9: 3.6620785466101506; round: 20; ; value 10: 6.430056822501568; round: 20; ;0.5340507315769978;84;0.5340507315769978
PROPOSE; value 1: 8.842173766656328; round: 20; ; value 2: 1.0366887753448988; round: 20; ; value 3: 2.42231678917878; round: 20; ; value 4: 3.1252701883209664; round: 20; ; value 5: 7.392944902545027; round: 20; ; value 6: 5.4937181221814235; round: 20; ; value 7: 8.137325039956464; round: 20; ; value 8: 7.360753119320896; round: 20; ; value 9: 1.322077804047725; round: 20; ; value 10: 0.7875174086812048; round: 20; ;0.5264382209254483;75;0.5264382209254483
PROPOSE; value 1: 0.9165072364687502; round: 20; ; value 2: 3.4379332198123373; round: 20; ; value 3: 1.4788811619187525; round: 20; ; value 4: 7.934772496259101; round: 20; ; value 5: 0.8304942162629189; round: 20; ; value 6: 3.380656963082929; round: 20; ; value 7: 6.831391127528413; round: 20; ; value 8: 1.6645004762043283; round: 20; ; value 9: 6.134757403713394; round: 20; ; value 10: 7.345757020359143; round: 20; ;0.5354242988400577;46;0.5354242988400577


